latitude,longitude,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,SG_Depth_to_bedrock,isric-soil-proportion-of-sand,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,MODIS_NPP,HumanModification,biomes,HyphalLength_m_cm3_final,log_hyphal_density,location_id
-21.0,-68.55,43.53314209,337.5125427,142.5167236,114.698349,17.35449791,78.47238159,155.7927551,1110.0,4128.0,1.719842672,1222.740967,0.103742525,10.0,0.335461538,0.28927695345267246,-21.0_-68.55
-21.0,-68.55,43.53314209,337.5125427,142.5167236,114.698349,17.35449791,78.47238159,155.7927551,1110.0,4128.0,1.719842672,1222.740967,0.103742525,10.0,2.927846154,1.3680912232282472,-21.0_-68.55
-21.0,-68.55,43.53314209,337.5125427,142.5167236,114.698349,17.35449791,78.47238159,155.7927551,1110.0,4128.0,1.719842672,1222.740967,0.103742525,10.0,3.039615385,1.396149485708413,-21.0_-68.55
-21.0,-68.55,43.53314209,337.5125427,142.5167236,114.698349,17.35449791,78.47238159,155.7927551,1110.0,4128.0,1.719842672,1222.740967,0.103742525,10.0,3.598769231,1.525788709216633,-21.0_-68.55
-21.0,-68.55,43.53314209,337.5125427,142.5167236,114.698349,17.35449791,78.47238159,155.7927551,1110.0,4128.0,1.719842672,1222.740967,0.103742525,10.0,15.38461538,2.796342807966198,-21.0_-68.55
-20.42,-69.73,191.5167236,3.200000048,295.5167236,100.8000031,9.005178452,86.24222565,173.1620483,1112.0,1001.0,0.131052047,2035.311279,0.071943276,13.0,12.33572464,2.590446497364897,-20.42_-69.73
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,0.12488189,0.11767804347823094,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,0.374645669,0.3181960026366752,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,0.457874016,0.3769792210738633,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,0.790866142,0.582699381033643,-20.26_-68.87
